Date, Open, High, Low, Close
02/08/22, 4480.02, 4531.32, 4465.40, 4521.54
02/07/22, 4505.75, 4521.86, 4471.47, 4483.87
02/04/22, 4482.79, 4539.66, 4451.50, 4500.53
02/03/22, 4535.41, 4542.88, 4470.39, 4477.44
02/02/22, 4566.39, 4595.31, 4544.32, 4589.38
02/01/22, 4519.57, 4550.49, 4483.53, 4546.54
01/31/22, 4431.79, 4516.89, 4414.02, 4515.55
01/28/22, 4336.19, 4432.72, 4292.46, 4431.85
01/27/22, 4380.58, 4428.74, 4309.50, 4326.51
01/26/22, 4408.43, 4453.23, 4304.80, 4349.93
01/25/22, 4366.64, 4411.01, 4287.11, 4356.45
01/24/22, 4356.32, 4417.35, 4222.62, 4410.13
01/21/22, 4471.38, 4494.52, 4395.34, 4397.94
01/20/22, 4547.35, 4602.11, 4477.95, 4482.73
01/19/22, 4588.03, 4611.55, 4530.20, 4532.76
01/18/22, 4632.24, 4632.24, 4568.70, 4577.11
01/14/22, 4637.99, 4665.13, 4614.75, 4662.85
01/13/22, 4733.56, 4744.13, 4650.29, 4659.03
01/12/22, 4728.59, 4748.83, 4706.71, 4726.35
01/11/22, 4669.14, 4714.13, 4638.27, 4713.07
01/10/22, 4655.34, 4673.02, 4582.24, 4670.29
01/07/22, 4697.66, 4707.95, 4662.74, 4677.03
01/06/22, 4693.39, 4725.01, 4671.26, 4696.05
01/05/22, 4787.99, 4797.70, 4699.44, 4700.58
01/04/22, 4804.51, 4818.62, 4774.27, 4793.54
01/03/22, 4778.14, 4796.64, 4758.17, 4796.56
12/31/21, 4775.21, 4786.83, 4765.75, 4766.18
